Times Bins DMs SNRs
337850.0 3.0 10.0 8.30527546521367
337851.0 3.0 10.0 8.33510492677393
339458.0 3.0 10.0 8.575698361423983
337849.0 4.0 10.0 8.059865805654612
337850.0 4.0 10.0 9.786922128711888
337851.0 4.0 10.0 8.314498506757902
338806.0 4.0 10.0 8.334296539359796
339457.0 4.0 10.0 8.290936918105357
339458.0 4.0 10.0 9.043757151484634
337849.0 5.0 10.0 9.529413688019101
337850.0 5.0 10.0 9.734058298033792
337851.0 5.0 10.0 8.304859285634222
338804.0 5.0 10.0 8.062110291544037
338805.0 5.0 10.0 9.098529848663432
338806.0 5.0 10.0 8.319567603098902
339456.0 5.0 10.0 8.287591957121665
339457.0 5.0 10.0 8.861914336327612
339458.0 5.0 10.0 8.700181911907405
337848.0 6.0 10.0 9.28974951014445
337849.0 6.0 10.0 9.594075115150863
337850.0 6.0 10.0 9.678443853022753
337851.0 6.0 10.0 8.129708180026235
338734.0 6.0 10.0 8.378307480612579
338804.0 6.0 10.0 9.228125184736829
338805.0 6.0 10.0 9.095550176430752
338806.0 6.0 10.0 8.31817010553924
339455.0 6.0 10.0 8.204800000312986
339456.0 6.0 10.0 8.885764098677818
339457.0 6.0 10.0 8.647730327464073
339458.0 6.0 10.0 8.361486831957663
339505.0 6.0 10.0 8.262136191645835
336847.0 7.0 10.0 8.135764512029406
337847.0 7.0 10.0 8.904754018760995
337848.0 7.0 10.0 9.429199875180759
337849.0 7.0 10.0 9.616104647624203
337850.0 7.0 10.0 9.468257931826784
338733.0 7.0 10.0 8.8087703447211
338734.0 7.0 10.0 8.423808004608027
338802.0 7.0 10.0 8.044550273526125
338803.0 7.0 10.0 9.043227419233878
338804.0 7.0 10.0 9.274765737703705
338805.0 7.0 10.0 9.090654291604194
338806.0 7.0 10.0 8.209143911653383
339368.0 7.0 10.0 8.014926892603334
339454.0 7.0 10.0 8.18246444544943
339455.0 7.0 10.0 8.818494155281641
339456.0 7.0 10.0 8.743176952585237
339457.0 7.0 10.0 8.394479367828199
339458.0 7.0 10.0 8.15736561250469
339504.0 7.0 10.0 8.41409501709402
336845.0 8.0 10.0 8.066759159570802
336846.0 8.0 10.0 8.304219066424583
336847.0 8.0 10.0 8.100685662853849
337846.0 8.0 10.0 8.799379385916248
337847.0 8.0 10.0 9.10468443343087
337848.0 8.0 10.0 9.506538312241325
337849.0 8.0 10.0 9.470008308499697
337850.0 8.0 10.0 9.250818353704007
338732.0 8.0 10.0 8.623704534708313
338733.0 8.0 10.0 8.863773899554314
338734.0 8.0 10.0 8.464533435671212
338735.0 8.0 10.0 8.276656629470805
338801.0 8.0 10.0 8.501199502346171
338802.0 8.0 10.0 9.143120760647577
338803.0 8.0 10.0 9.143122762347446
338804.0 8.0 10.0 9.302299864281435
338805.0 8.0 10.0 8.978732809832053
338806.0 8.0 10.0 8.741276875188781
339454.0 8.0 10.0 8.79737534942423
339455.0 8.0 10.0 8.732141664720428
339456.0 8.0 10.0 8.541655442156006
339457.0 8.0 10.0 8.241573248965533
339504.0 8.0 10.0 8.108587016002136
339505.0 8.0 10.0 8.06944761082071
336845.0 9.0 10.0 8.392488420168808
336846.0 9.0 10.0 8.291622630317868
336847.0 9.0 10.0 8.141552996654216
336906.0 9.0 10.0 8.011286151460473
336907.0 9.0 10.0 8.030969780024888
337845.0 9.0 10.0 8.18301034805304
337846.0 9.0 10.0 9.026858376661226
337847.0 9.0 10.0 9.231056435500978
337848.0 9.0 10.0 9.41065257244284
337849.0 9.0 10.0 9.299946030806737
337850.0 9.0 10.0 9.22122198767683
337851.0 9.0 10.0 8.475785860672191
338731.0 9.0 10.0 8.603116397893812
338732.0 9.0 10.0 8.718747552823238
338733.0 9.0 10.0 8.908184473514059
338734.0 9.0 10.0 8.881124481371378
338801.0 9.0 10.0 9.540598198817863
338802.0 9.0 10.0 9.26505879648672
338803.0 9.0 10.0 9.210936691405907
338804.0 9.0 10.0 9.218319391129075
338805.0 9.0 10.0 9.466800925634427
338806.0 9.0 10.0 8.435982520585982
339453.0 9.0 10.0 8.250385162160834
339454.0 9.0 10.0 8.749806311184921
339455.0 9.0 10.0 8.575134799759823
339456.0 9.0 10.0 8.420144825883515
339502.0 9.0 10.0 8.277551869683903
339504.0 9.0 10.0 8.282476524049347
339505.0 9.0 10.0 8.05122059306666
336845.0 10.0 10.0 8.40041816338664
336846.0 10.0 10.0 8.344405728639536
336902.0 10.0 10.0 8.176485215175532
336906.0 10.0 10.0 8.146152769453467
336907.0 10.0 10.0 8.14848891684629
337844.0 10.0 10.0 8.03386488638892
337845.0 10.0 10.0 8.456310834090685
337846.0 10.0 10.0 9.177501516793132
337847.0 10.0 10.0 9.182171624203024
337848.0 10.0 10.0 9.280199461312899
337849.0 10.0 10.0 9.29653928496875
337850.0 10.0 10.0 9.665304538192514
337851.0 10.0 10.0 8.241601381537096
338149.0 10.0 10.0 8.041544914923518
338730.0 10.0 10.0 8.094188172584403
338731.0 10.0 10.0 8.719687198156159
338732.0 10.0 10.0 8.794375618621155
338733.0 10.0 10.0 9.305511425367984
338800.0 10.0 10.0 8.9462340681322
338801.0 10.0 10.0 9.662756881393243
338802.0 10.0 10.0 9.350010724926573
338803.0 10.0 10.0 9.163297503548636
338804.0 10.0 10.0 9.695438800740995
338805.0 10.0 10.0 9.165635922816897
339451.0 10.0 10.0 8.002447736686266
339452.0 10.0 10.0 8.0024499862545
339453.0 10.0 10.0 8.259185992466456
339454.0 10.0 10.0 8.62561733107277
339455.0 10.0 10.0 8.483249042929282
339502.0 10.0 10.0 8.065578954954987
339504.0 10.0 10.0 8.27797229095643
338803.0 2.0 20.0 8.206918453044047
337826.0 3.0 20.0 8.19398865763041
337827.0 3.0 20.0 9.039826619333656
337826.0 4.0 20.0 9.396244673840446
337827.0 4.0 20.0 8.574940263314165
338801.0 4.0 20.0 8.084337495956575
337826.0 5.0 20.0 9.07169687242285
337827.0 5.0 20.0 8.347027209087384
338800.0 5.0 20.0 8.897930706183315
338801.0 5.0 20.0 8.130244039514656
339453.0 5.0 20.0 8.210746625036064
337826.0 6.0 20.0 8.899637430680512
337847.0 6.0 20.0 8.047840391398143
338730.0 6.0 20.0 8.445150370461018
338731.0 6.0 20.0 8.297138320716396
338732.0 6.0 20.0 8.09777452066187
338799.0 6.0 20.0 8.460379366425917
338800.0 6.0 20.0 8.943691777749935
339450.0 6.0 20.0 8.059815847426963
339451.0 6.0 20.0 8.008465928133711
339452.0 6.0 20.0 8.531047336039679
339453.0 6.0 20.0 8.153462767645093
337826.0 7.0 20.0 8.47914611871003
337846.0 7.0 20.0 8.034523040048311
337847.0 7.0 20.0 8.196728752672001
337931.0 7.0 20.0 8.146553386094004
338728.0 7.0 20.0 8.03345203527213
338729.0 7.0 20.0 8.75777770548432
338730.0 7.0 20.0 9.073797348584284
338731.0 7.0 20.0 8.61515418680424
338798.0 7.0 20.0 8.46706517462179
338799.0 7.0 20.0 8.592914888539125
338800.0 7.0 20.0 8.760713851837469
338801.0 7.0 20.0 8.019612412295091
339450.0 7.0 20.0 8.398435360338258
339451.0 7.0 20.0 8.650132834266055
339452.0 7.0 20.0 8.507507364202539
337826.0 8.0 20.0 8.57950925580916
337845.0 8.0 20.0 8.121749648275454
337846.0 8.0 20.0 8.213311567151646
337847.0 8.0 20.0 8.247321589173247
337931.0 8.0 20.0 8.205640702568193
338728.0 8.0 20.0 8.952867010548633
338729.0 8.0 20.0 9.366196370118631
338730.0 8.0 20.0 9.360966479714428
338731.0 8.0 20.0 8.432290244031062
338732.0 8.0 20.0 8.325036536479981
338734.0 8.0 20.0 8.058209215187242
338797.0 8.0 20.0 9.000099885914006
338798.0 8.0 20.0 8.631246648407016
338799.0 8.0 20.0 8.487369007791212
338800.0 8.0 20.0 8.819602514062849
339363.0 8.0 20.0 8.213877899833072
339450.0 8.0 20.0 9.01194034070921
339451.0 8.0 20.0 8.66139908315446
339452.0 8.0 20.0 8.269001900619882
339453.0 8.0 20.0 8.075420361851883
339499.0 8.0 20.0 8.054589680772978
337826.0 9.0 20.0 8.445736500674697
337842.0 9.0 20.0 8.125141921358297
337844.0 9.0 20.0 8.914389230522316
337845.0 9.0 20.0 8.315060119705665
337846.0 9.0 20.0 8.290398488674347
337847.0 9.0 20.0 8.302732618163631
338727.0 9.0 20.0 8.85468849888864
338728.0 9.0 20.0 9.547744639842183
338729.0 9.0 20.0 9.653801380885238
338730.0 9.0 20.0 9.177791490084452
338731.0 9.0 20.0 8.83496633710392
338732.0 9.0 20.0 8.83743494880955
338733.0 9.0 20.0 8.245505008504715
338796.0 9.0 20.0 9.010224445296629
338797.0 9.0 20.0 9.15574333228279
338798.0 9.0 20.0 8.561347009292346
338799.0 9.0 20.0 8.590945846753725
338800.0 9.0 20.0 8.514490170802887
339362.0 9.0 20.0 8.212380959102584
339363.0 9.0 20.0 8.350500705724253
339449.0 9.0 20.0 8.538138674795732
339450.0 9.0 20.0 9.03388410805331
339451.0 9.0 20.0 8.459218870868801
339452.0 9.0 20.0 8.459221113469631
339498.0 9.0 20.0 8.06963561825596
339499.0 9.0 20.0 8.511120603796368
336840.0 10.0 20.0 8.060829480198475
336902.0 10.0 20.0 8.000137295707674
337826.0 10.0 20.0 8.114590633629943
337842.0 10.0 20.0 8.678523869420129
337843.0 10.0 20.0 8.781478161089911
337844.0 10.0 20.0 9.080977109256994
337845.0 10.0 20.0 8.40711204442468
337846.0 10.0 20.0 8.364997661142436
337847.0 10.0 20.0 8.339261999255005
337848.0 10.0 20.0 8.044447343405189
338726.0 10.0 20.0 8.43958983204482
338727.0 10.0 20.0 9.450393270564398
338728.0 10.0 20.0 9.838805296933591
338729.0 10.0 20.0 9.49251467888072
338730.0 10.0 20.0 9.546332825817572
338731.0 10.0 20.0 9.319372892097073
338732.0 10.0 20.0 9.237481633416019
338734.0 10.0 20.0 8.163510171251055
338794.0 10.0 20.0 8.037300968586825
338795.0 10.0 20.0 9.020026600524666
338796.0 10.0 20.0 9.183816163836678
338797.0 10.0 20.0 9.08788600254228
338798.0 10.0 20.0 8.680760135183617
338799.0 10.0 20.0 8.339149153338623
338800.0 10.0 20.0 8.268956982838718
339362.0 10.0 20.0 8.366213465844323
339363.0 10.0 20.0 8.396633453225851
339448.0 10.0 20.0 8.141794210999763
339449.0 10.0 20.0 8.609760042652635
339450.0 10.0 20.0 8.848423775106006
339451.0 10.0 20.0 8.65422129986746
339452.0 10.0 20.0 8.247095446802373
339497.0 10.0 20.0 8.205085133710282
339498.0 10.0 20.0 8.525642474077495
338729.0 4.0 30.0 8.395102710856914
338726.0 5.0 30.0 8.292427760881667
338727.0 5.0 30.0 8.345411463487093
338728.0 5.0 30.0 8.345413355811107
338729.0 5.0 30.0 8.673240199343924
338796.0 5.0 30.0 8.266069348622862
338797.0 5.0 30.0 8.302496236413031
337821.0 6.0 30.0 8.210845753549988
337908.0 6.0 30.0 8.201956498770757
338725.0 6.0 30.0 9.047019710559695
338726.0 6.0 30.0 8.96842775758743
338727.0 6.0 30.0 9.143754965191146
338728.0 6.0 30.0 8.681261424254751
338729.0 6.0 30.0 8.57848669412845
338795.0 6.0 30.0 8.657217566461672
338796.0 6.0 30.0 8.80231630354359
337820.0 7.0 30.0 8.123828527731602
337821.0 7.0 30.0 8.417685081157549
337842.0 7.0 30.0 8.205037252908719
337908.0 7.0 30.0 8.938420686380141
338724.0 7.0 30.0 8.808707833197944
338725.0 7.0 30.0 9.67068276826912
338726.0 7.0 30.0 9.715462809675287
338727.0 7.0 30.0 9.449596846992218
338728.0 7.0 30.0 8.649195868252715
338729.0 7.0 30.0 8.461691059788647
338793.0 7.0 30.0 8.344292659949563
338794.0 7.0 30.0 9.139100892482256
338795.0 7.0 30.0 9.17828370964092
338796.0 7.0 30.0 8.487028625271863
339448.0 7.0 30.0 8.20583252421047
337819.0 8.0 30.0 8.443519492920728
337820.0 8.0 30.0 8.362368136650572
337821.0 8.0 30.0 8.139852209540438
337841.0 8.0 30.0 8.715829523426923
337842.0 8.0 30.0 8.6006459560128
337843.0 8.0 30.0 8.236765458404866
337844.0 8.0 30.0 8.04042815590214
337907.0 8.0 30.0 8.336396534831625
337908.0 8.0 30.0 8.103409159446018
338723.0 8.0 30.0 8.966631246997077
338724.0 8.0 30.0 9.450938188881814
338725.0 8.0 30.0 10.367192430621449
338726.0 8.0 30.0 10.00854767224768
338727.0 8.0 30.0 9.41167743337316
338728.0 8.0 30.0 8.576581713997886
338729.0 8.0 30.0 8.631559218548754
338792.0 8.0 30.0 8.228559238940912
338793.0 8.0 30.0 9.498224908929217
338794.0 8.0 30.0 9.636974012083655
338795.0 8.0 30.0 8.901357065884126
338796.0 8.0 30.0 8.532240858957882
339445.0 8.0 30.0 8.607098638988353
339448.0 8.0 30.0 8.211808629159773
337818.0 9.0 30.0 8.445723245375673
337819.0 9.0 30.0 8.68019948293537
337820.0 9.0 30.0 8.134742102034563
337840.0 9.0 30.0 8.561781543560633
337841.0 9.0 30.0 9.089966960610848
337842.0 9.0 30.0 8.845623192287375
337843.0 9.0 30.0 8.650642311226614
337844.0 9.0 30.0 8.092844208929227
337906.0 9.0 30.0 8.487903802355284
338722.0 9.0 30.0 8.919426794592999
338723.0 9.0 30.0 9.595700888622616
338724.0 9.0 30.0 10.15597219764276
338725.0 9.0 30.0 10.642199175812035
338726.0 9.0 30.0 9.975802736817817
338727.0 9.0 30.0 9.331619597101326
338728.0 9.0 30.0 8.761480788270259
338729.0 9.0 30.0 8.65041683083897
338791.0 9.0 30.0 8.12732766978751
338792.0 9.0 30.0 9.353997957796153
338793.0 9.0 30.0 9.980909165790115
338794.0 9.0 30.0 9.383620770114703
338795.0 9.0 30.0 8.951698046728763
338796.0 9.0 30.0 8.482753157926034
339444.0 9.0 30.0 8.44244427654504
